ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
308,"Rehn, Teemu H.V.",9,HYAL Teologit,10
309,"Rättyä, Jonna",16,HYAL Teologit,10
310,"Saarela, Veronica",5,HYAL Teologit,10
311,"Siltanen, Markus",4,HYAL Teologit,10
312,"Tillander, Rasmus",22,HYAL Teologit,10
313,"Virtanen, Emmi",3,HYAL Teologit,10
314,"Björk, Tiia",43,HYAL Kumpula,13
315,"Hartikka, Piia",15,HYAL Kumpula,13
316,"Hauhia, Joni",10,HYAL Kumpula,13
317,"Jantunen, Ville",13,HYAL Kumpula,13
318,"Karttunen, Sasu",31,HYAL Kumpula,13
319,"Koivurova, Antti",33,HYAL Kumpula,13
320,"Korkiakoski, Niilo 'Kari'",16,HYAL Kumpula,13
321,"Kähkönen, Harri",9,HYAL Kumpula,13
322,"Leppänen, Veera",5,HYAL Kumpula,13
323,"Malinen, Henri",10,HYAL Kumpula,13
324,"Määttänen, Aino-Maija",8,HYAL Kumpula,13
325,"Nenonen, Ville",60,HYAL Kumpula,13
326,"Niskala, Iiro",24,HYAL Kumpula,13
327,"Nurmi, Matias",12,HYAL Kumpula,13
328,"Rasola, Miika",6,HYAL Kumpula,13
329,"Renlund, Jere",10,HYAL Kumpula,13
330,"Rämö, Miia",9,HYAL Kumpula,13
331,"Saari, Ville-Veikko",29,HYAL Kumpula,13
332,"Salmenperä, Ilmo",18,HYAL Kumpula,13
333,"Turunen, Heikki",10,HYAL Kumpula,13
